-1		ewoce_eep_110W			-2		ewoce_wep_179E			-3		ewoce_wep_165E_calcd			-4		glob-alk-tco2_eep_calcd			-5		glob-alk-tco2_wep_calcd			-6		glodapv2_eep_86W_calcd			-7		glodapv2_eep_95W_calcd			-8		glodapv2_wep_1_calcd		49HG19950414	-9		glodapv2_wep_2_calcd		49NZ1998129	-10		glodapv2_wep_3_calcd		49NZ20020107	-11		glodapv2_wep_4_calcd		49NZ20021217	-12		glodapv2_wep_5_calcd		49NZ20041117	-13		glodapv2_wep_6_calcd		49NZ20070216	-14		glodapv2_wep_7_calcd		49UP20070606	-15		glodapv2_wep_8_calcd		49UF20090610	-16		glodapv2_wep_9_calcd		49UF20100108	-17		glodapv2_wep_10_calcd		49UP20090117	-18		glodapv2_wep_11_calcd		49UF20180129	-19		pacifica_eep_110W			-20		pacifica_wep_1			-21		pacifica_wep_2			-22		pacifica_wep_3			-23		pacifica_wep_4		
Approx_Depth	Avg_pH	Station	Depth 	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH
10	8	156	9.149	8.0600004	2.5	8.13	121	2.486	8.1499996	6	8.07	71	5.967	8.08	0	7.885	19677	0	7.91	0	7.853270875	20353	0	7.88	2	8.02	351	2.387	8.05	2.5	8.05	73	3.182	8.03	0	8.068	104	0	8.072	0	8.03	6	0	8.027	0	8.057	9	0	8.062	15	8.070336	6	15	8.07	10	8.062	28	10	8.059	10	8.075	2	10	8.068	0	8.034	2988	0	8.034	10	8.068	2456	11	8.067	10	8.086	2585	11	8.099	10	8.006	3318	11	8.011	0	8.032	5299	0	8.031	5	7.988	34	5	8.0439997	12.5	8.1034999	6	15	8.1029997	0	8.04749965	2079	0	8.0299997	0	8.08249995	2203	0	8.0889997	10	8.05419978	28	10	8.0509996
25	7.98	156	75.964	7.6900001	35	8.13	121	37.885	8.1499996	20	8.07	71	19.888	8.08	10	7.882	19677	10	7.9	10	7.867927625	20353	10	7.89	40	7.94	351	35	7.62	9.5	8.04	73	19.591	7.99	10	8.074	104	10	8.076	30	8.028	6	15	8.029	20	8.064	9	10	8.062	30	8.070012	6	30	8.07	50	8.056	28	51	8.054	50	8.065	2	51	8.069	10	8.035	2988	10	8.032	20	8.063	2456	21	8.057	20	8.088	2585	22	8.093	20	8.006	3318	21	8.012	10	8.034	5299	11	8.033	10	7.999	34	10	8.0439997	30	8.0994997	6	29	8.1009998	10	8.04799985	2079	9	8.0279999	10	8.0829997	2203	10	8.0889997	50	8.04640006	28	51	8.0450001
50	7.79	156	99.126	7.6599998	65	8.11	121	68.407	8.1000004	45	8.06	71	45.74	8.08	20	7.866	19677	20	7.89	20	7.8762705	20353	20	7.9	60	7.84	351	57.468	7.65	20	8.04	73	39.08	7.95	25	8.07	104	25	8.066	40	8.027	6	29	8.027	30	8.063	9	20	8.064	40	8.069786	6	40	8.07	100	8.005	28	100	8.019	100	7.982	2	99	7.986	25	8.032	2988	26	8.028	30	8.061	2456	31	8.061	30	8.087	2585	31	8.087	30	8.006	3318	30	8.012	25	8.031	5299	26	8.024	15	7.984	34	25	8.04	40	8.09849975	6	39	8.1049995	19	8.0455003	2079	20	8.0290003	20	8.08200025	2203	20	8.0880003	100	7.99760016	28	100	8.0100002
75	7.7	155	9.149	8.0200005	100	8.03	126	2.387	8.1599998	70	8.05	71	69.6	8.07	30	7.852	19677	30	7.88	30	7.87851175	20353	30	7.9	85	7.81	351	82.32	7.67	29	8.02	73	59.861	7.96	40	8.066	104	39	8.065	50	8.024	6	39	8.029	40	8.061	9	30	8.063	50	8.069485	6	50	8.069			29	11	8.058			3	11	8.076	50	8.016	2988	50	8.019	40	8.062	2456	41	8.062	40	8.086	2585	40	8.085	50	8.001	3318	41	8.01	50	8.029	5299	51	8.03	25	7.998	34	50	8.0469999	50	8.09299995	6	49	8.1040001	30	8.04299975	2079	31	8.0299997	31	8.0805001	2203	31	8.0860004			29	11	8.0489998
100	7.69	155	23.866	8.0100002			126	39.378	8.1599998	95	8	71	94.451	8.04	50	7.809	19677	50	7.83	50	7.885774563	20353	50	7.91			351	106.87	7.67	40	8	73	79.247	7.94	50	8.064	104	49	8.067	60	8.021	6	49	8.029	50	8.059	9	40	8.062	60	8.068251	6	60	8.068			29	50	8.034			3	50	8.062	75	8.001	2988	76	8.007	50	8.052	2456	51	8.059	50	8.082	2585	50	8.086	60	8	3318	52	8.002	75	8.03	5299	76	8.031	50	7.882	34	74	7.9419999	60	8.08949995	6	59	8.1029997	40	8.04050015	2079	41	8.0310001	40	8.0785003	2203	40	8.0830002			29	50	8.026
		155	48.724	7.8099999			126	99.821	8.0200005			73	5.967	8.1	75	7.743	19677	75	7.74	75	7.8909345	20353	75	7.91			352	2.586	8.06	50	7.96	73	99.128	7.91	75	8.042	104	67	8.033	70	8.014	6	59	8.027	60	8.058	9	50	8.058	70	8.058718	6	70	8.059			29	99	8.026			3	99	7.983			2988	102	7.982	60	8.049	2456	61	8.058	60	8.094	2585	62	8.099	80	7.995	3318	61	8.001	100	8.027	5299	104	8.027	75	7.763	34	99	7.8239999	70	8.0764999	6	71	8.085	50	8.0380001	2079	50	8.0279999	51	8.0749998	2203	51	8.0799999			29	99	8.0170002
		155	72.883	7.6900001			134	3.182	8.1199999			73	44.747	8.08	100	7.724	19677	100	7.71	100	7.9003285	20353	100	7.91			353	1.79	8.07	80	7.87	74	20.883	8.11	100	8.016	104	75	8.021	80	8.006	6	71	8.019	70	8.056	9	60	8.058	80	8.009297	6	80	8.009			30	9	8.055			4	9	8.07			2989	0	8.034445	80	7.98	2456	81	7.97	80	8.09	2585	81	8.094	100	7.988	3318	80	7.993			5300	0	8.033	100	7.66	35	6	8.0450001	80	8.0654998	6	81	8.0699997	59	8.03700015	2079	61	8.0270004	62	8.06400015	2203	62	8.0670004			30	9	8.0459995
		155	98.53	7.6700001			134	37.191	8.1199999			73	69.603	8.04			19678	0	7.95			20354	0	7.86			354	1.492	8.04	95	7.85	74	39.577	8.1			104	100	7.987	100	7.997	6	81	8.007	80	8.048	9	70	8.052								30	50	8.059			4	49	8.062			2989	12	8.03799	100	7.972	2456	101	7.973	100	7.991	2585	101	7.995			3318	101	7.984			5300	12	8.036			35	17	8.0509996	90	8.05649995	6	90	8.0710001	80	8.04799985	2079	80	8.026	82	8.0255003	2203	82	8.0240002			30	50	8.0500002
		154	9.149	8.0200005			134	66.72	8.1000004			73	95.449	8			19678	10	7.94			20354	10	7.88			355	1.889	8.03			74	58.866	8			105	0	8.064			6	90	8.009	90	8.033	9	81	8.038								30	100	8.01			4	98	7.982			2989	26	8.03563			2457	11	8.069			2586	11	8.085			3319	12	8.002			5300	27	8.038			35	28	8.0389996	100	8.0600004	6	99	8.0600004	100	8.03399995	2079	101	8.0229998	102	8.0215001	2203	102	8.0159998			30	100	8.0010004
